task_id,project_duration_days,task_duration_days,completion_percentage,delay_days,workers_assigned,material_shortage_flag,predicted_completion_days_left,estimated_extra_workers,recommended_schedule_change
89,135,33,23,2,5,0,27,1,Increase Overtime
90,360,44,77,9,6,0,19,0,Add 1 shift/week
91,203,43,100,0,3,0,0,0,No Change
92,103,59,82,7,6,1,17,1,Reassign Workers
93,337,16,87,11,4,0,13,3,Add 1 shift/week
94,92,57,29,0,6,0,40,2,No Change
95,177,24,72,10,7,0,16,1,Reassign Workers
96,219,56,3,5,4,1,59,1,Increase Overtime
97,311,45,62,9,5,1,26,3,Add 1 shift/week
98,321,24,75,3,7,1,9,3,Increase Overtime
99,105,35,38,6,1,0,27,2,Reassign Workers
100,92,20,77,10,10,1,14,0,Increase Overtime
101,166,31,8,5,2,0,33,2,Add 1 shift/week
102,101,32,93,4,1,1,6,2,Reassign Workers
103,231,13,20,1,4,0,11,3,Increase Overtime
104,277,8,81,7,10,0,8,2,Add 1 shift/week
105,331,60,79,13,7,1,25,3,Add 1 shift/week
106,243,38,60,5,9,1,20,1,Increase Overtime
107,350,31,84,7,9,1,11,1,Increase Overtime
108,108,26,3,10,4,1,35,2,Increase Overtime
109,146,29,82,1,5,1,6,1,Reassign Workers
110,270,32,16,10,4,0,36,1,No Change
111,125,50,45,5,10,0,32,2,No Change
112,149,11,88,7,5,1,8,2,Add 1 shift/week
113,217,53,6,11,5,1,60,2,No Change
114,260,45,69,12,2,0,25,0,Reassign Workers
115,219,7,79,3,10,1,4,3,Add 1 shift/week
116,148,14,23,9,5,0,19,1,Reassign Workers
117,261,19,40,4,3,0,15,3,Increase Overtime
118,305,37,43,10,1,1,31,3,Add 1 shift/week
119,259,57,67,10,3,1,28,2,Add 1 shift/week
120,147,12,23,14,3,0,23,0,No Change
121,173,19,72,12,4,0,17,3,Add 1 shift/week
122,325,59,38,15,6,0,51,2,Reassign Workers
123,185,59,61,14,10,0,37,2,Add 1 shift/week
124,173,23,1,5,7,1,27,0,Add 1 shift/week
125,238,37,62,9,3,1,23,2,Increase Overtime
126,213,27,2,15,2,1,41,1,Reassign Workers
127,211,42,63,11,5,0,26,1,Increase Overtime
128,232,21,11,1,10,1,19,3,Increase Overtime
129,190,16,45,9,4,1,17,2,Add 1 shift/week
130,189,22,44,13,6,0,25,0,Add 1 shift/week
131,304,58,93,11,1,1,15,1,No Change
132,361,9,16,15,4,0,22,2,Add 1 shift/week
133,315,16,2,12,3,1,27,0,No Change
134,188,12,16,8,9,0,18,0,No Change
135,358,31,51,5,1,1,20,2,Reassign Workers
136,139,12,92,8,4,1,8,3,Reassign Workers
137,194,41,74,12,6,0,22,3,No Change
138,131,35,13,12,5,1,42,3,Increase Overtime
139,278,9,98,9,1,1,9,0,No Change
140,250,35,44,0,5,0,19,2,Add 1 shift/week
141,142,25,11,0,9,0,22,2,No Change
142,191,7,96,9,5,0,9,3,Increase Overtime
143,213,15,5,13,10,1,27,3,Increase Overtime
144,256,45,66,1,10,0,16,1,Add 1 shift/week
145,256,24,42,8,7,1,21,3,Reassign Workers
146,212,47,54,6,1,0,27,0,Add 1 shift/week
147,215,27,80,1,1,1,6,3,Reassign Workers
148,110,20,74,9,3,0,14,0,No Change
149,269,60,86,8,9,0,16,3,Add 1 shift/week
150,147,39,29,4,1,1,31,0,Increase Overtime
151,342,37,6,8,9,1,42,0,Reassign Workers
152,110,29,63,4,2,1,14,2,Increase Overtime
153,256,42,30,7,7,1,36,0,Increase Overtime
154,285,44,63,6,4,0,22,3,Increase Overtime
155,153,9,82,8,7,0,9,1,Add 1 shift/week
156,355,43,47,10,10,0,32,1,Add 1 shift/week
157,278,54,54,15,2,1,39,3,No Change
158,94,16,92,1,10,0,2,0,Increase Overtime
159,104,33,16,9,2,0,36,3,Reassign Workers
160,165,24,52,15,2,1,26,0,Increase Overtime
161,205,38,92,2,1,0,5,2,Add 1 shift/week
162,182,58,22,10,10,1,55,3,Add 1 shift/week
163,365,15,83,12,9,0,14,0,Increase Overtime
164,182,19,24,0,6,1,14,2,Reassign Workers
165,116,41,96,8,6,1,9,1,Add 1 shift/week
166,272,42,4,2,4,0,42,0,Reassign Workers
167,249,58,30,4,9,1,44,3,No Change
168,201,55,69,9,9,1,26,0,Reassign Workers
169,178,22,18,0,3,1,18,3,Reassign Workers
170,109,39,28,7,10,0,35,1,Reassign Workers
171,325,25,25,7,6,1,25,3,Increase Overtime
172,353,36,20,14,3,1,42,1,Reassign Workers
173,155,36,16,14,8,0,44,1,Reassign Workers
174,153,28,75,9,4,1,16,2,No Change
175,276,55,4,15,7,0,67,3,Reassign Workers
176,259,36,89,2,7,1,5,1,Increase Overtime
177,365,23,45,11,4,1,23,2,Reassign Workers
178,238,44,45,9,2,0,33,1,No Change
179,131,32,16,13,8,0,39,0,Reassign Workers
180,209,13,66,13,10,1,17,1,Reassign Workers
181,130,40,89,6,1,1,10,2,Add 1 shift/week
182,300,18,48,11,5,1,20,1,Reassign Workers
183,311,29,37,13,2,1,31,3,Add 1 shift/week
184,112,10,0,8,4,1,18,3,Increase Overtime
185,194,12,2,2,7,0,13,2,No Change
186,161,41,15,14,8,0,48,0,Reassign Workers
187,171,36,93,13,6,0,15,2,No Change
188,365,34,5,15,1,0,47,3,No Change
189,322,38,27,12,10,1,39,1,Reassign Workers
190,329,23,19,7,2,0,25,1,No Change
191,236,24,58,0,5,0,10,2,Reassign Workers
192,184,21,55,10,8,1,19,0,Increase Overtime
193,362,33,54,14,4,1,29,3,Reassign Workers
194,276,21,18,6,8,1,23,2,No Change
195,340,57,16,11,7,1,58,3,No Change
196,126,56,18,0,10,0,45,0,Add 1 shift/week
197,177,37,61,8,2,1,22,0,Increase Overtime
198,157,52,30,15,10,0,51,1,Add 1 shift/week
199,163,12,100,0,7,1,0,0,No Change
200,243,28,90,11,1,0,13,3,No Change
201,356,11,5,3,1,0,13,3,Reassign Workers
202,175,12,19,10,8,0,19,3,Increase Overtime
203,169,34,91,13,1,1,16,1,No Change
204,168,55,71,0,10,1,15,1,No Change
205,130,29,12,0,2,1,25,3,Add 1 shift/week
206,219,31,68,14,4,0,23,0,No Change
207,174,39,15,0,9,1,33,0,Reassign Workers
208,137,60,40,4,8,1,40,1,Reassign Workers
209,188,36,68,8,6,0,19,2,Add 1 shift/week
210,333,26,39,10,9,0,25,3,No Change
211,355,8,35,3,10,0,8,2,Increase Overtime
212,362,41,86,13,5,1,18,0,No Change
213,301,25,43,14,2,1,28,2,Increase Overtime
214,152,16,18,3,8,0,16,0,Reassign Workers
215,326,40,86,3,4,0,8,1,Add 1 shift/week
216,181,34,49,2,3,1,19,3,Reassign Workers
217,168,12,48,14,7,1,20,2,Reassign Workers
218,279,53,18,4,5,0,47,1,No Change
219,154,13,3,1,10,1,13,0,Increase Overtime
220,242,55,73,2,2,0,16,0,No Change
221,126,34,45,15,9,1,33,0,Increase Overtime
222,241,54,65,11,6,0,29,2,No Change
223,339,40,21,3,8,1,34,1,Increase Overtime
224,163,46,39,5,5,1,33,0,Add 1 shift/week
225,354,57,28,9,3,0,50,3,Increase Overtime
226,327,43,64,14,5,1,29,3,Add 1 shift/week
227,323,7,88,13,9,0,13,2,No Change
228,170,31,27,15,4,1,37,3,Reassign Workers
229,123,36,26,11,2,1,37,2,No Change
230,355,26,4,1,6,0,25,0,Add 1 shift/week
231,314,10,22,3,2,1,10,0,Reassign Workers
232,105,16,75,8,5,1,12,0,Reassign Workers
233,362,38,51,7,3,1,25,1,Increase Overtime
234,168,48,95,11,1,1,13,3,Add 1 shift/week
235,271,58,84,13,8,1,22,3,Increase Overtime
236,144,46,71,14,5,0,27,2,Increase Overtime
237,299,19,68,10,6,1,16,1,Reassign Workers
238,307,54,61,11,4,1,32,1,Add 1 shift/week
239,249,29,53,10,7,0,23,0,Reassign Workers
240,304,52,79,11,9,1,21,2,Increase Overtime
241,150,11,56,3,1,1,7,0,Reassign Workers
242,102,39,96,9,4,0,10,0,Increase Overtime
243,252,31,7,2,9,0,30,0,Increase Overtime
244,169,25,42,12,1,1,26,2,No Change
245,225,42,26,11,9,1,42,2,No Change
246,131,22,71,1,5,0,7,2,No Change
247,329,41,84,1,5,0,7,0,Increase Overtime
248,249,53,66,8,5,1,26,1,Increase Overtime
249,110,14,3,1,7,0,14,2,No Change
250,281,7,32,14,10,0,18,2,Reassign Workers
251,334,37,31,7,2,0,32,2,Reassign Workers
252,211,24,22,11,8,1,29,2,No Change
253,298,45,44,13,6,1,38,0,Reassign Workers
254,305,58,2,1,6,1,57,0,No Change
255,305,24,58,12,7,0,22,3,Reassign Workers
256,353,41,44,1,5,0,23,3,Increase Overtime
257,364,24,39,15,9,1,29,0,Reassign Workers
258,148,41,42,0,7,0,23,1,Add 1 shift/week
259,278,30,87,10,10,1,13,3,No Change
260,159,51,26,4,2,1,41,2,Add 1 shift/week
261,185,36,69,5,10,0,16,0,Increase Overtime
262,210,47,3,6,1,0,51,0,No Change
263,128,21,9,14,1,0,33,3,Increase Overtime
264,343,28,78,12,6,1,18,1,No Change
265,138,30,14,1,6,1,26,1,Reassign Workers
266,233,27,2,2,6,0,28,1,Increase Overtime
267,277,34,96,14,1,0,15,2,Reassign Workers
268,103,37,44,11,6,0,31,2,Increase Overtime
269,125,28,64,3,1,0,13,1,Reassign Workers
270,117,8,68,0,8,1,2,1,Add 1 shift/week
271,194,30,86,5,9,0,9,3,No Change
272,293,59,52,6,2,1,34,0,Add 1 shift/week
273,279,36,51,6,5,0,23,2,Increase Overtime
274,281,26,47,6,4,1,19,2,No Change
275,140,21,79,10,6,0,14,1,Add 1 shift/week
276,293,16,89,8,7,0,9,2,Reassign Workers
277,104,39,67,7,7,1,19,2,Increase Overtime
278,304,48,44,11,1,1,37,2,Reassign Workers
279,213,60,33,12,8,0,52,1,Add 1 shift/week
280,240,50,80,0,6,1,10,0,Increase Overtime
281,262,41,29,6,7,1,35,3,Increase Overtime
282,277,47,85,4,5,0,11,2,No Change
283,283,28,38,2,10,0,19,2,Increase Overtime
284,347,50,46,15,2,1,42,1,Reassign Workers
285,265,23,33,5,5,1,20,0,No Change
286,161,60,54,4,3,0,31,2,Add 1 shift/week
287,141,47,70,12,3,0,26,0,Add 1 shift/week
288,179,38,39,6,3,0,29,2,Add 1 shift/week
289,284,25,59,3,10,0,13,1,No Change
290,216,57,24,5,1,0,48,1,Reassign Workers
291,93,45,81,12,6,0,20,1,Reassign Workers
292,97,9,46,4,7,1,8,2,Add 1 shift/week
293,120,27,21,9,3,1,30,0,Reassign Workers
294,354,25,82,7,2,0,11,2,Reassign Workers
295,212,60,22,6,6,0,52,3,Reassign Workers
296,352,38,26,11,10,1,39,2,Increase Overtime
297,265,57,61,1,2,0,23,3,Reassign Workers
298,167,9,83,13,1,0,14,1,Reassign Workers
299,173,52,64,0,7,0,18,3,No Change
300,279,47,36,15,6,1,45,2,Increase Overtime
301,279,49,21,8,8,0,46,0,Increase Overtime
302,170,12,7,13,2,0,24,3,Add 1 shift/week
303,314,42,22,13,4,0,45,1,Reassign Workers
304,315,50,81,14,5,1,23,3,No Change
305,150,31,73,7,8,1,15,0,Add 1 shift/week
306,229,50,25,11,3,1,48,2,Add 1 shift/week
307,244,24,64,12,8,0,20,1,Add 1 shift/week
308,132,18,73,12,5,0,16,0,No Change
309,162,19,22,10,6,1,24,3,No Change
310,189,57,87,6,4,0,13,2,Reassign Workers
311,106,11,31,15,5,0,22,2,No Change
312,207,58,66,10,7,0,29,1,Reassign Workers
313,355,58,50,0,7,0,29,2,Reassign Workers
314,276,53,93,7,2,0,10,2,Reassign Workers
315,230,46,94,13,5,0,15,3,Increase Overtime
316,202,25,92,15,5,1,17,0,Reassign Workers
317,195,29,32,7,1,0,26,0,Add 1 shift/week
318,100,49,28,6,9,1,41,0,No Change
319,338,50,44,8,3,0,36,3,Add 1 shift/week
320,141,41,56,14,7,1,32,2,Add 1 shift/week
321,225,53,61,15,10,0,35,2,Reassign Workers
322,333,12,93,13,2,1,13,1,No Change
323,130,15,91,0,10,1,1,3,Add 1 shift/week
324,100,37,75,5,1,0,14,1,Increase Overtime
325,212,12,69,1,9,0,4,2,Increase Overtime
326,169,36,62,3,1,1,16,1,Increase Overtime
327,311,46,9,1,4,0,42,0,No Change
328,226,33,54,2,8,0,17,1,Reassign Workers
329,94,22,29,8,5,0,23,3,Reassign Workers
330,102,37,12,0,1,1,32,2,Add 1 shift/week
331,194,13,56,6,7,1,11,1,No Change
332,300,30,58,9,6,1,21,1,Add 1 shift/week
333,204,21,2,15,6,0,35,1,Increase Overtime
334,329,56,7,8,4,1,60,2,Increase Overtime
335,277,42,71,8,4,0,20,2,No Change
336,103,11,5,4,10,1,14,2,Add 1 shift/week
337,153,39,25,5,6,1,34,1,No Change
338,188,55,44,11,10,0,41,1,Increase Overtime
339,155,50,14,7,9,1,50,2,Increase Overtime
340,343,41,60,13,5,1,29,3,Increase Overtime
341,256,47,55,6,9,1,27,2,Add 1 shift/week
342,158,18,75,2,5,0,6,1,Reassign Workers
343,242,22,85,4,1,0,7,2,Add 1 shift/week
344,245,53,68,9,10,1,25,1,Increase Overtime
345,329,22,90,0,10,1,2,2,Increase Overtime
346,310,15,99,3,6,0,3,3,Increase Overtime
347,282,37,16,0,9,0,31,2,No Change
348,145,12,82,15,8,0,17,0,Reassign Workers
349,314,23,51,11,6,0,22,2,Increase Overtime
350,92,42,45,9,9,0,32,1,No Change
351,319,16,76,5,1,1,8,1,Increase Overtime
352,321,38,25,7,6,1,35,3,Add 1 shift/week
353,234,10,79,5,3,0,7,0,No Change
354,193,39,2,3,1,1,41,0,Reassign Workers
355,344,37,37,5,9,0,28,0,Add 1 shift/week
356,130,39,6,10,5,1,46,3,Reassign Workers
357,160,21,18,7,1,1,24,0,Reassign Workers
358,134,43,39,12,1,0,38,0,Add 1 shift/week
359,207,27,80,12,6,0,17,1,Reassign Workers
360,139,50,56,5,2,0,27,0,Add 1 shift/week
361,112,23,41,10,2,1,23,3,Increase Overtime
362,128,55,28,1,3,0,40,2,No Change
363,202,47,82,3,5,0,11,1,Increase Overtime
364,236,10,51,14,4,0,18,1,Add 1 shift/week
365,91,8,100,0,7,0,0,0,No Change
366,212,34,84,1,7,1,6,1,No Change
367,278,22,32,6,9,0,20,2,Reassign Workers
368,273,56,87,14,8,1,21,3,Reassign Workers
369,283,54,33,3,5,1,39,3,Reassign Workers
370,341,50,40,15,1,1,45,0,Add 1 shift/week
371,137,33,60,11,5,0,24,3,Increase Overtime
372,307,19,71,3,7,1,8,0,Add 1 shift/week
373,109,42,44,1,7,1,24,2,Reassign Workers
374,160,42,89,6,7,1,10,0,Reassign Workers
375,161,34,76,2,8,1,10,1,Reassign Workers
376,197,21,74,15,5,1,20,3,Reassign Workers
377,119,32,51,5,7,0,20,1,Increase Overtime
378,201,10,63,6,1,0,9,0,Add 1 shift/week
379,362,11,24,6,3,1,14,1,Increase Overtime
380,296,29,12,5,2,0,30,2,Increase Overtime
381,349,8,40,1,7,1,5,1,No Change
382,156,11,7,0,8,0,10,1,Reassign Workers
383,322,19,5,11,5,0,29,0,No Change
384,284,31,18,10,5,0,35,1,Add 1 shift/week
385,110,34,45,14,3,1,32,3,Increase Overtime
386,283,30,97,9,1,1,9,2,Add 1 shift/week
387,326,17,66,3,7,0,8,3,Increase Overtime
388,164,53,70,4,6,0,19,2,No Change
389,142,11,41,12,7,0,18,3,Reassign Workers
390,133,18,53,5,6,1,13,1,No Change
391,241,59,13,2,9,1,53,0,Reassign Workers
392,356,20,67,12,9,0,18,2,No Change
393,229,38,38,13,5,1,36,3,Increase Overtime
394,195,52,0,15,8,1,67,2,Reassign Workers
395,283,58,99,11,6,1,11,3,Increase Overtime
396,327,29,91,10,9,1,12,0,No Change
397,289,57,49,4,4,1,33,1,Add 1 shift/week
398,100,28,98,8,8,0,8,2,Add 1 shift/week
399,174,43,97,3,8,0,4,0,No Change
400,249,14,61,15,4,1,20,3,Increase Overtime
401,350,16,95,14,3,0,14,1,Add 1 shift/week
402,290,34,9,5,7,0,35,0,Increase Overtime
403,217,25,65,13,2,1,21,0,Increase Overtime
404,210,26,6,6,10,1,30,0,Add 1 shift/week
405,288,8,88,9,9,0,9,0,Add 1 shift/week
406,359,40,44,15,2,0,37,0,Add 1 shift/week
407,188,11,91,4,9,0,4,2,No Change
408,91,57,49,5,8,0,34,3,No Change
409,197,7,54,12,7,0,15,0,Increase Overtime
410,270,34,73,6,1,1,15,0,Reassign Workers
411,233,19,42,8,4,1,19,1,Reassign Workers
412,153,26,9,4,5,1,27,2,Add 1 shift/week
413,106,39,21,14,6,1,44,0,No Change
414,254,49,50,2,7,1,26,0,Reassign Workers
415,147,43,91,15,7,0,18,3,Add 1 shift/week
416,359,44,63,5,5,1,21,2,No Change
417,185,42,60,4,6,0,20,1,Increase Overtime
418,348,50,76,10,6,0,22,0,No Change
419,129,56,93,14,7,1,17,1,Add 1 shift/week
420,351,20,92,8,5,1,9,1,Reassign Workers
421,285,54,88,5,10,0,11,0,Increase Overtime
422,140,47,55,12,6,0,33,0,Add 1 shift/week
423,138,24,17,10,4,1,29,0,Add 1 shift/week
424,159,35,26,1,2,0,26,1,No Change
425,214,12,76,7,10,1,9,2,No Change
426,323,59,52,9,10,0,37,2,Increase Overtime
427,159,42,13,12,5,1,48,2,Increase Overtime
428,344,25,7,5,7,1,28,3,Reassign Workers
429,304,25,1,6,6,0,30,2,Increase Overtime
430,116,60,52,15,7,0,43,3,Reassign Workers
431,217,37,82,11,10,1,17,3,Add 1 shift/week
432,208,16,52,14,3,0,21,0,Reassign Workers
433,249,16,80,4,1,0,7,2,No Change
434,220,19,50,7,1,0,16,1,No Change
435,364,27,36,0,9,1,17,1,No Change
436,152,31,93,14,9,0,16,1,Reassign Workers
437,159,8,8,11,7,0,18,3,Reassign Workers
438,150,41,52,4,8,0,23,0,Add 1 shift/week
439,279,30,74,13,5,1,20,3,No Change
440,335,33,36,8,5,1,29,2,Reassign Workers
441,112,53,5,4,7,1,54,1,Increase Overtime
442,171,27,74,8,8,1,15,0,Add 1 shift/week
443,303,48,89,14,1,0,19,0,No Change
444,291,53,9,11,2,1,59,2,No Change
445,109,53,10,2,10,0,49,3,Add 1 shift/week
446,95,50,25,2,4,1,39,0,No Change
447,156,19,98,14,2,1,14,1,Add 1 shift/week
448,268,60,83,15,9,1,25,3,Increase Overtime
449,239,17,95,14,6,0,14,0,Add 1 shift/week
450,318,16,76,9,5,0,12,2,No Change
451,143,15,16,4,4,0,16,0,Reassign Workers
452,144,38,24,8,6,1,36,1,Increase Overtime
453,364,8,76,2,4,0,3,0,No Change
454,327,46,64,0,8,0,16,2,Reassign Workers
455,177,33,31,8,5,0,30,2,Add 1 shift/week
456,224,7,93,15,9,1,15,2,Increase Overtime
457,203,43,50,2,2,0,23,0,Reassign Workers
458,117,50,89,0,8,1,5,0,No Change
459,105,10,94,12,3,0,12,2,Increase Overtime
460,196,51,96,12,8,1,14,3,No Change
461,136,17,54,8,10,0,15,2,Increase Overtime
462,360,57,37,0,6,1,35,2,No Change
463,319,42,79,5,2,0,13,0,No Change
464,192,31,27,9,7,1,31,1,Reassign Workers
465,120,25,57,6,7,0,16,1,Reassign Workers
466,235,51,47,4,3,0,31,3,Increase Overtime
467,363,31,92,10,4,0,12,0,Reassign Workers
468,155,34,32,11,8,1,34,2,Add 1 shift/week
469,268,12,10,5,9,1,15,3,Add 1 shift/week
470,257,55,98,3,2,0,4,3,No Change
471,357,49,89,5,7,1,10,0,No Change
472,147,43,49,2,3,1,23,2,Increase Overtime
473,312,11,32,7,3,0,14,0,Add 1 shift/week
474,261,42,100,0,10,1,0,0,No Change
475,351,21,41,1,7,0,13,3,Add 1 shift/week
476,108,24,83,1,6,1,5,3,Reassign Workers
477,96,42,77,7,8,0,16,0,Increase Overtime
478,211,16,39,10,9,1,19,0,Reassign Workers
479,194,34,10,10,6,1,40,3,Increase Overtime
480,90,28,54,2,9,0,14,0,Increase Overtime
481,285,58,30,9,5,1,49,3,No Change
482,265,18,45,5,2,1,14,1,No Change
483,92,25,49,13,10,0,25,1,Add 1 shift/week
484,156,58,72,3,4,1,19,3,Increase Overtime
485,227,24,90,10,10,0,12,2,No Change
486,219,32,39,1,8,0,20,0,Add 1 shift/week
487,91,24,87,10,3,0,13,3,Increase Overtime
488,358,59,95,1,10,1,3,0,No Change
489,130,41,33,11,3,0,38,3,Add 1 shift/week
490,165,9,10,10,4,1,18,1,No Change
491,191,26,53,11,9,0,23,1,Reassign Workers
492,91,28,92,6,10,0,8,1,Reassign Workers
493,353,48,48,3,10,1,27,1,No Change
494,147,45,93,3,10,0,6,1,Increase Overtime
495,306,10,79,1,3,0,3,3,Add 1 shift/week
496,138,28,40,10,9,1,26,2,Increase Overtime
497,329,57,57,12,1,0,36,2,Add 1 shift/week
498,177,12,98,1,3,0,1,2,Reassign Workers
499,271,15,6,1,8,0,15,3,Add 1 shift/week
500,275,17,45,1,8,1,10,1,Add 1 shift/week
501,128,33,49,7,4,0,23,2,Add 1 shift/week
502,172,52,72,6,2,0,20,2,No Change
503,355,45,60,1,2,1,19,1,Add 1 shift/week
504,104,60,49,15,4,0,45,3,Add 1 shift/week
505,317,59,82,14,6,0,24,1,Reassign Workers
506,319,24,61,11,8,0,20,0,Reassign Workers
507,198,56,42,14,10,1,46,3,Increase Overtime
508,182,18,9,10,2,1,26,2,Increase Overtime
509,345,12,39,4,8,0,11,3,Increase Overtime
510,365,60,100,0,5,0,0,0,No Change
511,363,49,56,2,7,0,23,3,Add 1 shift/week
512,179,52,92,8,2,0,12,1,Reassign Workers
513,204,50,72,8,10,1,22,3,Increase Overtime
514,102,13,5,12,4,0,24,2,No Change
515,247,23,99,5,8,0,5,2,No Change
516,288,60,33,12,6,1,52,2,Add 1 shift/week
517,334,55,69,7,10,0,24,2,No Change
518,131,18,57,7,7,1,14,2,No Change
519,106,50,58,9,9,0,30,1,Add 1 shift/week
520,163,12,0,2,7,0,14,1,No Change
521,203,12,67,5,6,0,8,3,Add 1 shift/week
522,136,42,61,14,3,0,30,2,Reassign Workers
523,187,46,97,14,1,1,15,3,Reassign Workers
524,168,50,56,12,1,0,34,1,Reassign Workers
525,173,59,32,7,9,1,47,3,Increase Overtime
526,270,23,91,6,2,0,8,2,Add 1 shift/week
527,283,37,44,0,3,0,20,3,Increase Overtime
528,253,33,77,1,4,1,8,3,No Change
529,301,36,63,13,7,0,26,2,Increase Overtime
530,289,9,57,9,7,1,12,0,Increase Overtime
531,222,58,45,0,3,0,31,2,Add 1 shift/week
532,214,31,10,11,3,1,38,3,Reassign Workers
533,211,16,83,2,4,1,4,2,No Change
534,156,49,97,1,3,1,2,1,Increase Overtime
535,171,24,37,15,4,1,30,0,Add 1 shift/week
536,233,37,39,5,7,0,27,2,Increase Overtime
537,316,57,88,7,1,1,13,2,Add 1 shift/week
538,177,31,23,3,5,1,26,2,Increase Overtime
539,100,37,10,4,4,0,37,3,Increase Overtime
540,170,58,45,7,8,1,38,3,Add 1 shift/week
